Start String,Matched Vocab,Attempts
bimucronatus,bimucronatus,1
bi,,nan
bimucr,,nan
bimu,,nan
bimucrona,,nan
bimucron,,nan
bimuc,,nan
bimucro,,nan
de,dea,1
dem,,nan
demersa,demersa,4
demersa,,nan
demer,,nan
dem,,nan
d,duo,13
dem,,nan
deme,,nan
de,,nan
altim,altima,1
alt,,nan
altimontan,altimontanus,1
altimo,,nan
altimon,altimontanus,1
altimont,altimontana,1
al,ala,6
altimontanu,altimontanus,1
altimonta,altimontana,7
a,ana,7
ha,hamus,7
haplotar,haplotarsa,1
h,,nan
haplota,,nan
haplotars,haplotarsa,3
haplo,,nan
haplot,,nan
hap,,nan
haplotarsa,haplotarsa,3
hapl,,nan
akha,,nan
a,,nan
akh,,nan
akh,,nan
akhanii,akhanii,1
a,apo,4
akhan,,nan
a,anta,4
akhani,,nan
a,arcata,3
calcitr,,nan
calcitrans,calcitrans,1
calci,,nan
c,cheni,4
calcitra,,nan
ca,,nan
calcitran,calcitrans,1
calc,,nan
calcit,,nan
cal,cala,3
she,,nan
s,spinosus,2
she,,nan
s,si,3
she,,nan
she,,nan
sheba,sheba,1
s,si,1
sh,shanensis,20
sh,shuri,5
alp,,nan
alpinu,alpinus,1
alp,alpina,4
alpinus,alpinus,1
alpin,alpina,1
alpinus,alpinus,1
a,ana,5
alpinus,alpinus,1
alp,,nan
alpinus,alpinus,1
vassununga,vassununga,1
vass,,nan
vassunung,vassununga,1
vassunu,vassununga,3
vassu,,nan
vassunun,,nan
vas,,nan
v,villa,2
va,,nan
vassun,vassununga,1
p,punctatus,3
po,poi,3
pougnet,pougneti,1
pou,,nan
pougneti,pougneti,1
pougne,,nan
pougne,,nan
poug,,nan
p,pura,2
pougneti,pougneti,1
pe,,nan
p,punctatum,1
pen,pena,6
pen,,nan
pentodon,pentodon,1
pentodo,,nan
pentod,pentodon,2
pentodon,pentodon,1
pentod,,nan
pe,,nan
flavocin,flavocincta,1
flavo,flavostriatus,17
flavoci,,nan
flavoc,flavocephala,11
flavocinct,flavocincta,1
flav,flavum,2
fl,flora,1
f,fasciata,4
fla,flata,8
flavocincta,flavocincta,1
gibber,gibber,15
gibb,gibbosa,6
g,gui,17
gibbe,,nan
gibber,gibber,19
gi,,nan
gibber,,nan
gibber,gibber,12
g,guttulata,5
gi,,nan
se,seri,3
seneg,,nan
senegalensis,senegalensis,1
senegalensi,senegalensis,1
sene,,nan
sen,,nan
senegalens,senegalensis,1
s,si,1
senegal,senegalensis,1
senegale,senegalensis,1
katy,,nan
katy,,nan
ka,kai,9
kat,,nan
kat,kati,8
k,kai,5
katy,,nan
katya,katyae,3
ka,,nan
kat,kati,9
f,fera,5
flora,flora,1
flor,,nan
flora,flora,1
flo,floris,3
fl,,nan
flor,,nan
fl,,nan
flora,flora,1
flora,flora,1
p,pum,7
pelz,,nan
pelze,,nan
pel,,nan
pelzel,,nan
pel,,nan
pe,peri,1
pelzel,,nan
pelzelni,pelzelni,1
pelzel,,nan
pon,,nan
ponan,,nan
pon,,nan
pona,,nan
po,poya,1
ponanga,ponanga,1
ponang,ponanga,17
pona,,nan
ponan,,nan
ponan,,nan
hippore,,nan
hi,,nan
hipp,,nan
hip,,nan
hipporeg,,nan
hippo,,nan
h,harti,8
hipporegia,hipporegia,2
hippor,,nan
hipporegi,hipporegia,3
j,,nan
jimredneri,jimredneri,1
jimr,,nan
jim,jima,1
jimredner,jimredneri,1
jimredn,,nan
jimre,,nan
jimred,,nan
ji,,nan
jimredne,jimredneri,20
sh,,nan
shan,shanensis,2
shan,shanensis,4
shangr,,nan
shangri,,nan
sha,shanus,2
s,si,3
sha,shanensis,1
shangrila,shangrila,2
s,si,3
nelli,nelli,1
ne,,nan
nel,,nan
ne,,nan
nell,nelli,4
ne,,nan
n,nita,20
nell,,nan
ne,,nan
ne,,nan
v,vittata,3
vega,vega,1
v,vittata,2
ve,venda,16
veg,vega,1
veg,,nan
vegas,vegas,1
veg,,nan
vega,vega,1
vegas,vegas,2
pugi,,nan
pugilis,pugilis,1
pug,,nan
pugilis,pugilis,1
pug,,nan
pu,pula,1
pugi,,nan
p,punctata,2
pugilis,pugilis,1
pu,pula,2
ku,,nan
kugitangi,,nan
k,kai,1
kug,,nan
kugitangic,kugitangica,15
kugitangica,kugitangica,1
kugitan,kugitangica,13
kugit,,nan
kugita,,nan
kugitang,,nan
se,seri,3
semili,,nan
semilimba,,nan
sem,,nan
semil,,nan
semilimbat,semilimbatus,2
semi,,nan
semilimb,,nan
semilim,,nan
s,si,3
mura,mura,2
mur,mura,1
muralico,muralicola,1
muralicol,muralicola,1
muralic,,nan
m,manus,1
murali,muralis,1
mu,mura,18
mural,,nan
muralicola,muralicola,1
sche,,nan
schen,,nan
schen,,nan
schenke,,nan
schenke,,nan
schenke,,nan
schen,,nan
sche,,nan
schenkel,schenkeli,2
s,shanensis,8
pseudovagans,pseudovagans,1
pseud,,nan
pseudova,,nan
pseudovag,,nan
pseudov,,nan
pseudovaga,,nan
pseudovagan,pseudovagans,1
pseu,,nan
pse,,nan
ps,,nan
a,ana,5
aos,,nan
ao,,nan
aosen,,nan
a,alba,4
aos,,nan
aosen,,nan
aos,,nan
aos,,nan
aosen,,nan
tigr,tigra,7
tig,,nan
tigr,tigre,1
tig,,nan
tigre,tigre,2
tig,,nan
ti,tinus,4
ti,tina,3
tig,,nan
tigre,tigre,1
mene,,nan
menemer,,nan
menemere,,nan
meneme,,nan
men,,nan
menemerella,menemerella,1
menemerel,menemerella,10
menemerell,menemerella,1
me,merina,18
menem,,nan
athl,,nan
athleticu,athleticus,1
ath,,nan
athletic,athleticus,3
at,ata,1
a,anta,7
athle,,nan
athleticus,athleticus,1
athlet,athleticus,1
athleti,,nan
apot,,nan
apotheti,apothetica,10
a,ana,3
apoth,,nan
apothetic,apothetica,1
apothetica,apothetica,1
apothet,,nan
apothe,,nan
ap,api,1
apo,apo,2
niphoco,,nan
niphocosm,niphocosmum,6
niphocosmum,niphocosmum,1
niphoc,,nan
niphocos,,nan
nipho,,nan
niphocosmu,niphocosmum,3
n,notata,11
nip,,nan
ni,,nan
zabalet,,nan
zabalet,zabaleta,1
z,,nan
zaba,zaba,1
zabaleta,zabaleta,10
zabalet,,nan
zabale,,nan
zabal,,nan
zabaleta,zabaleta,13
zabalet,zabaleta,3
bra,,nan
br,,nan
branta,branta,2
br,,nan
br,,nan
b,blandus,3
bra,,nan
bra,,nan
branta,branta,6
bra,,nan
fu,,nan
furcu,,nan
furculo,furculosus,2
f,foliata,15
furculos,furculosus,1
furculosu,furculosus,1
furc,furcata,1
furcul,furcula,1
furculosus,furculosus,1
fur,fur,1
yas,,nan
yasu,yasua,17
yas,yasi,14
yasudai,yasudai,1
yas,,nan
yas,,nan
yasud,yasudai,1
yasu,,nan
ya,,nan
yasudai,yasudai,1
t,tena,1
tinalandi,,nan
tinal,,nan
tinala,,nan
tinaland,,nan
tinalandia,tinalandia,1
tina,tina,1
ti,tina,3
tinalan,,nan
tin,tinus,2
plan,plana,4
pla,,nan
planu,planus,1
plan,plana,13
planu,planus,1
pla,,nan
pl,platus,8
planus,planus,1
planus,planus,1
plan,plana,1
fl,,nan
flavifr,,nan
flavi,,nan
flav,flava,6
flavifron,flavifrons,1
fla,,nan
flavifrons,flavifrons,1
flavif,,nan
f,fasciatus,6
flavifro,flavifrons,1
r,reni,5
rio,rio,6
ri,,nan
rio,rio,10
ri,,nan
rio,rio,3
ri,,nan
ri,,nan
rio,rio,3
ri,,nan
robertoi,robertoi,1
rober,roberti,9
robe,roberti,19
roberto,robertoi,6
robe,,nan
r,rufa,11
robertoi,robertoi,1
ro,rosa,5
ro,,nan
robert,roberti,1
la,la,1
laura,laura,1
laura,laurae,1
laura,laura,1
lau,,nan
laura,laurae,1
l,lini,2
l,longtou,2
laur,,nan
laur,,nan
fur,fur,1
fu,,nan
furcatella,furcatella,1
furca,furca,1
furcate,furcatella,6
furcatel,furcatella,4
f,fuscus,6
furcatell,furcatella,1
furc,furca,1
furcat,furcatus,1
rem,,nan
reme,,nan
remed,,nan
remed,,nan
remediu,remedius,1
remedi,,nan
remedius,remedius,1
re,,nan
re,,nan
remedi,,nan
m,manni,1
mit,mita,3
mitific,mitificus,1
mitific,mitificus,1
mitifi,mitificus,1
mitifica,mitifica,1
mi,miri,1
mit,mita,2
mitif,,nan
mitifi,mitificus,1
a,ata,1
armatissimu,armatissimus,1
armatiss,armatissima,3
ar,,nan
armatissimus,armatissimus,1
arma,,nan
armatis,,nan
armati,,nan
armat,armatus,1
armatissim,armatissimus,3
uzag,uzaga,6
uzaga,uzaga,1
uza,,nan
uza,,nan
uzaga,uzaga,1
uza,,nan
uzaga,uzaga,1
uzaga,uzaga,1
uz,,nan
u,ura,11
bi,bina,18
bic,,nan
b,bergi,1
bicurvata,bicurvata,1
bicurvata,bicurvata,1
bicur,,nan
bicu,,nan
bicur,,nan
bicu,,nan
bicur,,nan
signiventr,signiventris,1
signiv,,nan
sig,,nan
signivent,signiventris,7
signi,,nan
s,spinosa,3
signiventris,signiventris,1
sign,signatus,2
si,si,1
signiven,signiventris,7
demerara,demerarae,7
demer,,nan
demerarae,demerarae,1
deme,,nan
demerara,demerarae,4
dem,,nan
demer,,nan
demerara,demerarae,9
demerar,demerarae,11
d,dentatus,8
shuquiang,,nan
s,shuri,3
shuquian,,nan
shu,,nan
shuqui,,nan
shuquiangli,,nan
shuquia,,nan
shuqu,,nan
shuquiangl,,nan
sh,shanensis,12
warden,wardeni,2
warden,wardeni,1
w,wa,2
wardeni,wardeni,1
wardeni,wardeni,1
wardeni,wardeni,1
w,wa,2
war,,nan
warden,wardeni,1
wardeni,wardeni,1
i,,nan
isla,isla,7
islamita,,nan
islami,,nan
is,,nan
islami,islamita,7
isla,isla,2
isl,isla,7
islam,,nan
islam,,nan
puc,,nan
pucu,,nan
p,pedalis,6
pucuna,pucuna,1
pucuna,pucuna,1
p,pirum,10
pucun,pucuna,2
puc,,nan
puc,,nan
pu,pula,1
misch,mischi,1
mis,,nan
mi,mi,2
m,mao,3
misch,mischi,1
misch,mischi,5
mis,,nan
mis,,nan
misc,,nan
m,montanus,2
semicastaneus,semicastaneus,1
semicastane,semicastaneus,10
semic,,nan
sem,,nan
semicas,,nan
semicastaneu,semicastaneus,1
s,shanensis,3
semica,,nan
semi,seminola,15
semicastan,,nan
ar,,nan
ara,,nan
ara,,nan
arawak,arawak,2
ar,,nan
arawakan,arawakan,1
araw,arawa,1
arawa,arawa,1
arawak,arawak,4
a,,nan
heizerensi,heizerensis,1
h,harti,8
heizerensis,heizerensis,1
he,,nan
heiz,,nan
hei,,nan
heizere,heizerensis,5
heize,,nan
heizerens,heizerensis,1
heizer,,nan
orph,,nan
orpheu,orpheus,1
orp,,nan
orphe,,nan
or,ora,8
o,,nan
orp,,nan
orph,,nan
orph,,nan
orp,,nan
hamaens,hamaensis,1
hamaen,hamaensis,1
hama,hama,6
hamaen,hamaensis,1
ham,hamaensis,7
hamaens,hamaensis,1
hamaen,hamaensis,1
ham,,nan
h,harti,7
hamae,,nan
pi,pinta,13
pi,,nan
pictipe,pictipes,1
pictipes,pictipes,1
picti,pictipes,3
pictipe,pictipes,1
pictipes,pictipes,1
pict,picta,1
pictip,pictipes,1
p,punctata,2
torsivoide,torsivoides,1
t,tuberculata,3
torsivoid,torsivoides,1
torsi,,nan
torsivo,torsivoides,16
tor,,nan
torsivoi,torsivoides,2
tors,,nan
torsivoides,torsivoides,1
torsiv,torsivus,10
nicolas,,nan
nicolas,,nan
n,,nan
nicol,,nan
nic,nica,3
nic,nica,7
nicola,,nan
nico,,nan
nicolasi,,nan
nico,,nan
auctif,,nan
auctificus,auctificus,1
au,,nan
a,anta,4
auctifi,auctificus,1
auctificu,auctificus,1
aucti,,nan
auc,,nan
auct,,nan
auctific,auctificus,1
m,manni,5
melliss,mellissi,1
mellissi,,nan
mellissi,,nan
mellissi,,nan
mellis,,nan
me,merina,14
mell,,nan
melli,,nan
mellis,,nan
garrafensis,garrafensis,1
garra,,nan
garrafen,garrafensis,1
ga,gavensis,5
garr,,nan
g,gibbosus,13
garraf,garrafensis,2
garrafe,,nan
gar,,nan
garrafensi,garrafensis,1
okor,,nan
okoros,,nan
okorosav,okorosave,7
oko,,nan
okorosav,okorosave,8
okorosav,,nan
okorosa,,nan
okorosa,,nan
okoro,,nan
ok,,nan
anom,,nan
anomid,,nan
an,an,11
anomi,,nan
anom,,nan
an,ana,6
anom,,nan
ano,,nan
anomid,,nan
ano,,nan
c,cha,5
cress,cressa,1
cressa,cressa,1
cr,crica,1
cres,,nan
c,cumbia,5
cress,cressa,1
cress,cressa,3
cress,cressa,1
cr,crica,1
sin,,nan
s,shanensis,3
si,si,1
sino,,nan
si,si,1
sino,,nan
sino,,nan
sinop,,nan
si,si,1
sin,sinensis,12
trico,,nan
tricol,,nan
t,toro,2
tricoloripes,tricoloripes,1
tricoloripe,tricoloripes,1
tricolorip,tricoloripes,1
tr,,nan
tricolori,,nan
tricolor,tricolor,2
tri,,nan
rufi,rufi,7
ru,,nan
r,rostra,18
rufisque,rufisquei,2
ru,,nan
rufi,rufi,3
ruf,rufi,1
ru,,nan
rufisque,rufisquei,4
ruf,rufi,1
scapulat,scapulatus,1
scapula,scapula,1
scapul,scapula,2
sc,,nan
scapulatus,scapulatus,1
scap,scapigera,15
sca,,nan
s,si,9
scapu,,nan
scapulatu,scapulatus,1
matura,,nan
m,maculata,1
maturata,maturata,1
ma,mae,1
ma,mala,13
matur,,nan
matur,,nan
matur,,nan
matur,,nan
matu,,nan
cor,,nan
cornifr,cornifrons,1
corn,cornis,3
cornifrons,cornifrons,1
cornifron,cornifrons,1
cornif,cornifrons,2
co,,nan
c,cha,2
corni,cornis,1
cornifro,cornifrons,1
mon,,nan
monacan,,nan
monacanthu,monacanthum,1
monacanth,,nan
monac,monacha,4
mo,,nan
mona,mona,1
monacanthum,monacanthum,1
monacant,,nan
m,mana,1
c,chinensis,9
cyanog,,nan
cyanognathus,cyanognathus,1
cyanognat,cyanognatha,1
cyan,,nan
cy,,nan
cyanognath,cyanognatha,1
cyano,,nan
cyanogna,cyanognathus,1
cyanogn,cyanognathus,1
min,minae,12
minus,,nan
m,manni,2
mi,mira,1
minusculu,minusculus,1
minuscu,minuscula,2
minuscul,minuscula,1
minusculus,minusculus,1
minusc,minusculus,1
minu,,nan
ariadnae,ariadnae,1
ariadn,ariadnae,1
aria,,nan
ar,,nan
ariadna,ariadnae,1
ariadnae,ariadnae,1
ariad,,nan
ariadn,ariadnae,4
ari,,nan
a,an,1
qua,,nan
quadrivulv,,nan
quadr,,nan
quadrivulvat,quadrivulvata,1
quadrivulva,,nan
qu,,nan
quadrivu,,nan
quad,,nan
quadrivulvata,quadrivulvata,4
quadrivul,quadrivulvata,9
vi,vis,1
vis,vis,1
v,vittata,2
vi,,nan
vi,vis,4
vi,vis,2
visit,visite,4
visite,visite,15
visi,,nan
v,vittata,4
d,dong,2
dag,,nan
dagostin,,nan
dagosti,,nan
da,,nan
dago,,nan
dagostinae,dagostinae,2
dagost,,nan
dagostina,,nan
dagos,,nan
cultri,,nan
cultridens,,nan
cultride,,nan
cultr,,nan
cul,,nan
c,cha,2
cult,culta,2
cultrid,,nan
cu,,nan
cultriden,cultridens,9
zeb,,nan
zebrin,zebrinus,1
zebrina,zebrina,1
z,,nan
zebrina,zebrina,1
zebrina,zebrina,1
zebrina,zebrina,1
zebrin,zebrina,1
zeb,,nan
zebrina,zebrina,1
fai,,nan
faisalabadens,faisalabadensis,1
f,fera,13
faisalabadensi,faisalabadensis,1
faisal,,nan
faisalabade,faisalabadensis,1
faisalabad,faisalabadensis,14
faisalabaden,faisalabadensis,1
faisa,,nan
fa,,nan
curv,curva,1
curvilinea,curvilineatus,1
curvil,,nan
curvili,,nan
curvilineatu,curvilineatus,1
curvilineatus,curvilineatus,1
curviline,,nan
cur,curua,9
curvi,curvipes,6
cu,,nan
phaeo,,nan
phae,,nan
phaeoch,,nan
ph,,nan
p,punctatus,3
phaeoc,phaeocephalus,7
phaeochor,,nan
phaeocho,,nan
pha,phami,5
phaeochorda,phaeochorda,1
crassi,crassipes,7
crassibulb,crassibulba,4
c,cha,2
crassibul,crassibulba,1
crassibu,,nan
cra,,nan
cras,,nan
crassib,,nan
crass,crassus,3
crassibulba,crassibulba,1
longicymbiali,longicymbialis,1
longi,,nan
l,lenta,8
longic,,nan
longicymbia,longicymbia,1
longicymbial,longicymbialis,1
lon,longensis,2
lo,lobatus,4
longicym,,nan
long,longensis,3
orin,orina,1
o,osa,7
orine,,nan
ori,orion,5
orin,orinus,2
orin,orina,1
o,,nan
o,,nan
orine,,nan
orines,orines,1
nig,niger,6
nigricu,nigricula,1
nigricula,nigricula,1
nigr,nigrum,1
ni,,nan
nigric,nigricula,6
nigric,nigricula,1
nigricula,nigricula,1
nigr,nigrum,1
nigricul,nigricula,1
cor,,nan
co,,nan
corticeus,corticeus,1
cortic,,nan
corticeu,corticeus,1
corticeus,corticeus,1
c,cha,5
c,cheni,6
corti,,nan
corticeus,corticeus,1
dod,,nan
dod,,nan
do,,nan
dod,,nan
dodo,,nan
do,dota,12
do,dota,20
d,dentatus,1
d,dentatus,3
dodo,,nan
sidel,sidella,4
sidella,sidella,1
sid,,nan
s,shanensis,1
sidel,sidella,1
sidella,sidella,1
sidell,sidella,8
side,,nan
sidell,sidella,8
s,sula,1
l,lindae,13
lasal,,nan
lasalana,lasalana,1
la,la,1
l,lenca,4
la,la,3
las,,nan
lasalan,lasalana,1
las,,nan
lasalana,lasalana,1
flab,,nan
flabellatu,flabellatus,1
fl,flora,11
f,ferina,2
flabellatus,flabellatus,1
flabell,flabelli,1
flabellat,flabellata,1
flabella,flabella,2
flabel,flabelli,12
fla,flava,13
anjozor,,nan
anjozoro,,nan
anjoz,,nan
anjozorobe,anjozorobe,1
anjo,anjo,1
a,annae,14
anjozorob,anjozorobe,2
anj,,nan
an,an,4
anjozo,,nan
evan,,nan
evans,evansi,1
ev,evae,4
evansi,evansi,1
ev,evae,8
evan,,nan
eva,evae,1
ev,evae,10
e,ellae,2
evan,,nan
dean,,nan
de,,nan
de,,nan
deang,,nan
deang,,nan
d,dentatus,4
dean,,nan
deangia,deangia,9
dea,dea,2
dea,dea,5
seve,,nan
sevegn,,nan
sevegnaniae,sevegnaniae,1
se,seri,1
sevegna,,nan
s,si,1
sevegnan,,nan
sev,,nan
sevegnania,sevegnaniae,2
seveg,,nan
rubripl,,nan
rubriple,,nan
r,randa,6
rubrip,rubripes,1
ru,,nan
rub,rubus,3
rubri,,nan
rubripleur,rubripleura,1
rubr,rubrum,2
rubripleura,rubripleura,1
watari,watari,1
w,wa,5
wa,wa,1
wat,,nan
watari,watari,1
watarii,watarii,1
watar,watari,1
watarii,watarii,1
watarii,watarii,1
watarii,watarii,1
p,pae,2
pseudoferrugine,pseudoferruginea,1
pseu,,nan
pse,,nan
pseudofe,,nan
pseudoferrugin,pseudoferruginea,1
pseudoferrugi,pseudoferruginea,3
pseudoferrug,pseudoferruginea,17
pseudo,,nan
pseudof,,nan
vainuia,vainuia,1
va,,nan
vainuia,vainuia,1
vainui,,nan
vainu,,nan
v,vittata,1
vainuia,vainuia,1
va,,nan
va,,nan
vainuia,vainuia,1
alpi,,nan
alpig,,nan
al,ala,7
alpigen,alpigena,1
alpigenoi,alpigenoides,1
alpige,,nan
alpigeno,alpigenoides,1
a,ana,6
alp,alpina,3
alpigenoides,alpigenoides,1
rastru,rastrum,19
r,,nan
rast,,nan
ras,ras,2
rastrum,rastrum,1
rastrum,rastrum,1
rast,,nan
r,ras,20
ra,,nan
rast,,nan
paucisp,paucispina,1
pauc,,nan
pauci,,nan
p,poi,4
paucispina,paucispina,1
pau,pau,2
pa,pala,7
paucispi,paucispina,1
paucis,,nan
paucispin,paucispina,1
hip,,nan
hip,,nan
hip,,nan
hippi,,nan
hippie,hippie,3
hippi,,nan
hipp,,nan
h,harti,4
h,hui,4
hippie,hippie,14
b,bergensis,3
bal,balu,5
baline,balinensis,11
b,bergi,1
balin,,nan
bali,bali,2
ba,bani,2
bali,bali,1
b,bergi,7
baline,balinensis,19
l,la,3
laniu,lanius,1
lani,lanius,9
laniu,lanius,2
laniu,lanius,1
la,la,1
laniu,lanius,1
laniu,lanius,1
la,la,1
lan,langensis,4
lyug,,nan
lyugadinu,lyugadinus,1
l,longensis,14
lyugadin,lyugadinus,11
lyuga,,nan
ly,,nan
lyugad,,nan
lyugadinus,lyugadinus,1
lyu,,nan
lyugadi,,nan
tenebrosus,tenebrosus,1
tenebro,tenebrosus,2
ten,tensa,10
te,,nan
tenebr,tenebrosus,1
tene,,nan
teneb,tenebrosa,3
t,,nan
tenebrosu,tenebrosus,1
tenebros,tenebrosus,1
guangxicu,guangxicus,1
guangxic,guangxicus,1
gu,gus,2
g,goricus,15
gua,,nan
guangx,guangxi,1
guangxi,guangxi,1
guangxicus,guangxicus,1
guan,guani,3
guang,,nan
s,shanensis,1
sa,sanus,5
sara,sarae,4
sarahcrewsae,sarahcrewsae,1
sarahc,,nan
sarahcrew,,nan
sarahcr,,nan
sarahcrews,,nan
sarahcre,,nan
sar,sarae,5
cuneatu,cuneatus,1
cun,,nan
cun,,nan
cu,,nan
cunea,,nan
c,cha,20
cunea,cuneata,5
cune,,nan
cune,,nan
cuneatus,cuneatus,1
coottha,coottha,1
coott,,nan
coo,,nan
co,cona,15
c,cha,1
cootth,coottha,3
cootth,coottha,4
coo,,nan
coott,,nan
cootth,coottha,2
blanc,blanci,1
bl,,nan
bl,,nan
blanc,blanci,2
bla,,nan
bla,blas,2
bla,,nan
blanco,blanco,4
b,budensis,2
b,bergi,1
valqu,,nan
va,,nan
valquiri,,nan
valq,,nan
valquir,,nan
valqu,,nan
val,vali,1
valquiri,,nan
va,,nan
v,vera,1
lacte,lacteus,11
lac,lactea,4
lact,lacta,1
lac,,nan
la,la,1
lacteus,lacteus,1
lacteus,lacteus,1
lacteus,lacteus,1
lacte,lacteus,3
l,lini,1
consuelo,consuelo,1
consue,,nan
con,cona,3
c,cha,10
consuel,,nan
consuelo,consuelo,1
consuelo,consuelo,3
co,,nan
cons,,nan
con,cona,2
schubo,,nan
sc,,nan
schub,,nan
schubotzi,schubotzi,1
sch,,nan
sc,,nan
sc,scotti,17
schubotzi,schubotzi,1
schubo,,nan
sc,,nan
dep,depressa,14
depunct,depuncta,11
depunc,depuncta,2
d,dentata,7
de,,nan
depunct,,nan
de,,nan
dep,,nan
de,,nan
depunct,,nan
yacuiens,yacuiensis,1
yacuiensis,yacuiensis,1
yacuien,yacuiensis,1
yacuiensi,yacuiensis,1
y,yi,3
yacuie,yacuiensis,1
yacui,yacui,1
ya,,nan
yacu,,nan
yac,,nan
kopo,,nan
koponeni,koponeni,1
kopon,,nan
kopone,,nan
kopon,,nan
kopon,,nan
kopo,,nan
kop,,nan
kopone,,nan
k,kea,16
per,,nan
per,perus,19
pe,peri,20
p,punctata,6
perc,,nan
pe,,nan
pe,,nan
percy,percy,13
perc,,nan
per,,nan
dunstani,dunstani,6
dunstani,dunstani,5
dunsta,dunstani,7
dun,,nan
dunstani,dunstani,4
dun,,nan
dunst,dunstani,7
dun,,nan
d,dong,10
dun,dundo,10
fuscoma,,nan
fusco,fuscosa,15
fuscomaculatum,fuscomaculatum,1
fuscomacul,,nan
fuscom,,nan
fuscomaculatu,,nan
fuscomac,fuscomaculatum,20
fuscomacu,,nan
fuscomacula,,nan
fuscomaculat,,nan
st,stani,18
str,,nan
strab,straba,9
stra,,nan
stra,,nan
s,shanensis,1
strab,,nan
straba,straba,1
strab,,nan
str,,nan
palik,,nan
palikea,palikea,4
palikea,palikea,3
p,pie,2
pal,pala,2
pa,,nan
pal,pala,1
pa,pala,2
palike,,nan
pal,pala,8
xiq,,nan
xiquanens,xiquanensis,1
xiqua,,nan
xiqu,,nan
xi,xia,10
xiquane,xiquanensis,1
xiquanen,xiquanensis,1
xiquanensis,xiquanensis,1
x,xianensis,10
xiquanensi,xiquanensis,1
zang,,nan
zanghe,,nan
zan,,nan
zan,,nan
zan,,nan
zang,,nan
zangherii,zangherii,1
zang,,nan
zang,,nan
zang,,nan
trima,,nan
trim,,nan
tr,trux,11
tri,,nan
tri,,nan
t,tuberculatus,2
t,taris,6
trima,,nan
tr,,nan
t,tangi,7
coe,,nan
c,cha,2
c,cha,2
coen,,nan
c,chalcea,8
coeno,,nan
coe,,nan
coeno,,nan
coenosa,coenosa,1
coeno,,nan
simoni,simoni,1
si,si,1
simonis,simonis,1
simonis,simonis,1
simoni,simoni,1
simoni,simoni,1
simo,,nan
simon,simoni,3
si,si,1
sim,sima,1
b,blondi,1
bimucronatu,bimucronatus,1
bimucronatus,bimucronatus,1
bi,,nan
bimucr,,nan
bimu,,nan
bimucrona,,nan
bimucron,,nan
bimuc,,nan
bimucro,,nan
de,,nan
dem,,nan
demersa,demersa,5
demersa,demersa,1
demer,,nan
dem,,nan
d,dong,17
dem,,nan
deme,,nan
de,,nan
altim,altima,2
alt,altus,3
altimontan,altimontanus,1
altimo,,nan
altimon,altimontis,3
altimont,altimontanus,1
al,ala,6
altimontanu,altimontanus,1
altimonta,altimontana,1
a,akiensis,7
ha,hamus,3
haplotar,haplotarsa,4
h,hamatus,1
haplota,,nan
haplotars,haplotarsa,2
haplo,,nan
haplot,,nan
hap,,nan
haplotarsa,haplotarsa,1
hapl,,nan
akha,,nan
a,an,14
akh,,nan
akh,,nan
akhanii,akhanii,1
a,apo,5
akhan,,nan
a,anna,1
akhani,,nan
a,an,10
calcitr,,nan
calcitrans,calcitrans,1
calci,,nan
c,cha,8
calcitra,,nan
ca,,nan
calcitran,calcitrans,9
calc,,nan
calcit,,nan
cal,cala,2
she,,nan
s,si,1
she,,nan
s,seri,3
she,,nan
she,,nan
sheba,sheba,1
s,shanensis,8
sh,shanensis,1
sh,shawi,14
alp,alpina,7
alpinu,alpinus,1
alp,,nan
alpinus,alpinus,1
alpin,alpinus,1
alpinus,alpinus,1
a,anta,19
alpinus,alpinus,1
alp,,nan
alpinus,alpinus,1
vassununga,vassununga,1
vass,,nan
vassunung,vassununga,4
vassunu,vassununga,14
vassu,,nan
vassunun,,nan
vas,,nan
v,vaga,1
va,,nan
vassun,,nan
p,patens,1
po,poya,5
pougnet,pougneti,1
pou,,nan
pougneti,pougneti,1
pougne,,nan
pougne,,nan
poug,,nan
p,punctatum,13
pougneti,pougneti,1
pe,,nan
p,pae,2
pen,,nan
pen,,nan
pentodon,pentodon,1
pentodo,,nan
pentod,,nan
pentodon,pentodon,1
pentod,,nan
pe,,nan
flavocin,flavocincta,1
flavo,flavostriatus,5
flavoci,,nan
flavoc,flavocephala,4
flavocinct,flavocincta,1
flav,flava,2
fl,,nan
f,fasciatum,2
fla,flata,5
flavocincta,flavocincta,1
gibber,gibber,18
gibb,gibba,1
g,goblin,3
gibbe,,nan
gibber,gibber,16
gi,,nan
gibber,,nan
gibber,gibber,14
g,graminea,10
gi,gia,9
se,seri,1
seneg,senegalensis,7
senegalensis,senegalensis,1
senegalensi,senegalensis,1
sene,,nan
sen,,nan
senegalens,senegalensis,1
s,shanensis,6
senegal,senegalensis,6
senegale,senegalensis,1
katy,,nan
katy,katyae,9
ka,kai,6
kat,,nan
kat,katanga,10
k,kai,5
katy,,nan
katya,katyae,1
ka,kai,2
kat,kati,11
f,fera,6
flora,flora,1
flor,,nan
flora,flora,1
flo,flora,2
fl,flora,20
flor,,nan
fl,,nan
flora,flora,1
flora,flora,1
p,palmar,1
pelz,,nan
pelze,,nan
pel,,nan
pelzel,,nan
pel,,nan
pe,peri,15
pelzel,,nan
pelzelni,pelzelni,1
pelzel,,nan
pon,,nan
ponan,,nan
pon,,nan
